sub_name,super_name,sub,super,baselevel
Metallophon,Idiophon,7744556-9,4129454-3,
Bariton,Blechblasinstrument,4392006-8,4135632-9,
Glocke,Schlaginstrument,4021292-0,4137283-9,
Altquerflöte,Querflöte,7526619-2,4176713-5,
Platerspiel,Rohrblattinstrument,7845271-5,4131176-0,
Rohrblattinstrument,Holzblasinstrument,4131176-0,4131177-2,
Posaune,Blechblasinstrument,4046865-3,4135632-9,
Oboe,Rohrblattinstrument,4139391-0,4131176-0,
Sackpfeife,Rohrblattinstrument,4178853-9,4131176-0,
Glockenspiel,Metallophon,4021295-6,7744556-9,
Englischhorn,Oboe,4152282-5,4139391-0,
Drehorgel,Orgel,4129392-7,4043844-2,
Sistrum,Idiophon,7852082-4,4129454-3,
Kleine_Trommel,Trommel,7542431-9,4117255-3,
Bandurria,Zupfinstrument,7681584-5,4129682-5,
Launedda,Klarinette,4498993-3,4030938-1,
Trumscheit,Streichinstrument,4276521-3,4058020-9,
Cornettino,Zink,1143262026,4190840-5,
Carillon,Glockenspiel,4195341-1,4021295-6,
Mandoline,Zupfinstrument,4232939-5,4129682-5,
Kanun,Brettzither,4207974-3,4207973-1,
Brettzither,Zither,4207973-1,4067892-1,
Bassquerflöte,Querflöte,7526618-0,4176713-5,
Cellone,Violoncello,1206370017,4063584-3,
Pfeife,Blasinstrument,4045493-9,4130897-9,
Viola_d_Amore,Viola_da_Gamba,4127764-8,4127766-1,
Ventilhorn,Blechblasinstrument,7671260-6,4135632-9,
Kastagnetten,Klapper,4131227-2,4806196-7,
Klapper,Idiophon,4806196-7,4129454-3,
Saxofon,Rohrblattinstrument,4179250-6,4131176-0,
Bassgambe,Viola_da_Gamba,7612143-4,4127766-1,
Schalmei,Rohrblattinstrument,4179374-2,4131176-0,
Celesta,Klavier,7694384-7,4030982-4,
Trommel,Schlaginstrument,4117255-3,4137283-9,
Alboka,Rohrblattinstrument,7755480-2,4131176-0,
Flöte,Holzblasinstrument,4154647-7,4131177-2,
Zink,Blechblasinstrument,4190840-5,4135632-9,
Appalachian_dulcimer,Zither,4209987-0,4067892-1,
Gitarre,Zupfinstrument,4124933-1,4129682-5,
Dobro,Zupfinstrument,4817366-6,4129682-5,
Pennywhistle,Flöte,4476511-3,4154647-7,
Klavichord,Saitenklavier,4010271-3,4178934-9,
Wölbbrettzither,Zither,4276853-6,4067892-1,
Melodica,Harmonikainstrument,4169386-3,4123343-8,
Baryton,Streichinstrument,4144084-5,4058020-9,
Aulos,Rohrblattinstrument,4714890-1,4131176-0,
Glicibarifono,Klarinette,7667651-1,4030938-1,
Konzertina,Harmonikainstrument,4197339-2,4123343-8,
Oboe_da_Caccia,Oboe,1171835620,4139391-0,
Fidel,Streichinstrument,4154312-9,4058020-9,
Viola,Streichinstrument,4188364-0,4058020-9,
Serpent,Zink,7621521-0,4190840-5,
Blechblasinstrument,Blasinstrument,4135632-9,4130897-9,
Monochord,Zupfinstrument,4343588-9,4129682-5,
Holzblasinstrument,Blasinstrument,4131177-2,4130897-9,
Einhandflöte,Flöte,4334952-3,4154647-7,
Akkordzither,Zither,4429404-9,4067892-1,
Kontrabassklarinette,Klarinette,7660414-7,4030938-1,
Mundorgel,Blasinstrument,4170754-0,4130897-9,
Liebesklarinette,Klarinette,7660416-0,4030938-1,
Barockvioline,Violine,7844008-7,4019791-8,
Cembalo,Kielinstrument,4009667-1,4123511-3,
Maultrommel,Idiophon,4209622-4,4129454-3,
Physharmonika,Harmonikainstrument,1200966155,4123343-8,
Violone,Kontrabass,4524780-8,4032300-6,
Viola_pomposa,Violoncello,7671257-6,4063584-3,
Fagott,Rohrblattinstrument,4153531-5,4131176-0,
Virginal,Kielinstrument,4188384-6,4123511-3,
Bassett,Kontrabass,4843505-3,4032300-6,
Hammerklavier,Klavier,4271971-9,4030982-4,
Laute,Zupfinstrument,4166936-8,4129682-5,
Ophikleïde,Klappenhorn,4831780-9,4328529-6,
Klappenhorn,Blechblasinstrument,4328529-6,4135632-9,
Gbofe,Blasinstrument,1044911425,4130897-9,
Pochette,Violine,7699379-6,4019791-8,
Xylofon,Idiophon,4190396-1,4129454-3,
Drehleier,Streichinstrument,4131197-8,4058020-9,
Cister,Zupfinstrument,4148045-4,4129682-5,
Tenorhorn,Blechblasinstrument,7621216-6,4135632-9,
Balalaika,Zupfinstrument,4143930-2,4129682-5,
Wagnertuba,Blechblasinstrument,7624976-1,4135632-9,
Violoncello,Streichinstrument,4063584-3,4058020-9,
Kleinorgel,Orgel,4509524-3,4043844-2,
Alphorn,Blasinstrument,4142016-0,4130897-9,
Tibia,Rohrblattinstrument,7523948-6,4131176-0,
Viola_bastarda,Viola_da_Gamba,4188365-2,4127766-1,
Talempong,Idiophon,1234497565,4129454-3,
Viola_da_Gamba,Streichinstrument,4127766-1,4058020-9,
Bassettklarinette,Klarinette,118067362X,4030938-1,
Violino_piccolo,Violine,1172213283,4019791-8,
Bandola,Zupfinstrument,1204291829,4129682-5,
Oktobass,Kontrabass,7845604-6,4032300-6,
Große_Trommel,Trommel,7542430-7,4117255-3,
Kornett,Blechblasinstrument,4197145-0,4135632-9,
Klavier,Saitenklavier,4030982-4,4178934-9,
Okarina,Flöte,4460490-7,4154647-7,
Mundharmonika,Harmonikainstrument,4123805-9,4123343-8,
Zither,Zupfinstrument,4067892-1,4129682-5,
Altgambe,Viola_da_Gamba,1204264805,4127766-1,
Orgel,Tasteninstrument,4043844-2,4059103-7,
Klarinette,Rohrblattinstrument,4030938-1,4131176-0,
Lyra_viol,Viola_da_Gamba,4235054-2,4127766-1,
Tamburin,Schlaginstrument,4504967-1,4137283-9,
Becken,Schlaginstrument,7542598-1,4137283-9,
Olifant,Blechblasinstrument,4123883-7,4135632-9,
Serinette,Drehorgel,7651012-8,4129392-7,
Kastenzither,Brettzither,7662099-2,4207973-1,
Claves,Schlaginstrument,1140461281,4137283-9,
Heckelphon,Oboe,4442805-4,4139391-0,
Blockflöte,Flöte,4146029-7,4154647-7,
Pikkoloflöte,Querflöte,4197172-3,4176713-5,
Querflöte,Flöte,4176713-5,4154647-7,
Clarinhorn,Blechblasinstrument,7744553-3,4135632-9,
Flügelhorn,Blechblasinstrument,4649777-8,4135632-9,
Violotta,Viola_tenore,1143264045,4463388-9,
Vibrafon,Metallophon,4188204-0,7744556-9,
Kontrabass,Streichinstrument,4032300-6,4058020-9,
Bassetthorn,Klarinette,4391544-9,4030938-1,
Kielinstrument,Tasteninstrument,4123511-3,4059103-7,
Tuba,Blechblasinstrument,4061130-9,4135632-9,
Diskantgambe,Viola_da_Gamba,4338345-2,4127766-1,
Tomtom,Trommel,1085190633,4117255-3,
Basse_de_viole,Viola_da_Gamba,4253014-3,4127766-1,
Panflöte,Flöte,4044462-4,4154647-7,
Althorn,Blechblasinstrument,1204269548,4135632-9,
Viola_tenore,Viola,4463388-9,4188364-0,
Bandura,Zupfinstrument,4318453-4,4129682-5,
Bassklarinette,Klarinette,4414463-5,4030938-1,
Tiba,Blasinstrument,1051768543,4130897-9,
Knopfakkordeon,Harmonikainstrument,1031985735,4123343-8,
Schneckenhorn,Blechblasinstrument,1129292088,4135632-9,
Spinett,Kielinstrument,4056269-4,4123511-3,
Harfe,Zupfinstrument,4129456-7,4129682-5,
Marimba,Idiophon,4168894-6,4129454-3,
Harmonium,Tasteninstrument,4159135-5,4059103-7,
Banjo,Zupfinstrument,4267789-0,4129682-5,
Saitenklavier,Tasteninstrument,4178934-9,4059103-7,
Contradon,Blechblasinstrument,1073880974,4135632-9,
Chalumeau,Rohrblattinstrument,4231682-0,4131176-0,
Trompete,Blechblasinstrument,4060993-5,4135632-9,
Akkordeon,Harmonikainstrument,4122772-4,4123343-8,
Triangel,Schlaginstrument,4801084-4,4137283-9,
Violine,Streichinstrument,4019791-8,4058020-9,
Mezzosopran,Stimme,4425470-2,1124630767,
Sopran,Stimme,4392005-6,1124630767,
Alt,Stimme,4270768-7,1124630767,
Tenor,Stimme,4184718-0,1124630767,
Bariton,Stimme,4242467-7,1124630767,
Bass,Stimme,4712215-8,1124630767,
Pauke,Schlaginstrument,4173567-5,4137283-9,
Naturtrompete,Trompete,4472841-4,4060993-5,
Carnyx,Signalinstrument,1197582363,4813609-8,
Signalhorn,Signalinstrument,4338340-3,4813609-8,
Cornu,Signalinstrument,1123675783,4813609-8,
Lituus,Signalinstrument,7595348-1,4813609-8,
Kontrabassblockflöte,Blockflöte,1123165904,4146029-7,
Sopranblockflöte,Blockflöte,7612127-6,4146029-7,
Txistu,Blockflöte,1211361632,4146029-7,
Bassblockflöte,Blockflöte,4806190-6,4146029-7,
Stockflöte,Blockflöte,4299918-2,4146029-7,
Altblockflöte,Blockflöte,7612124-0,4146029-7,
Flageolett,Blockflöte,7684056-6,4146029-7,
Bassposaune,Posaune,4807591-7,4046865-3,
Cimbasso,Posaune,1206371218,4046865-3,
Kontrabassposaune,Posaune,4286171-8,4046865-3,
Altposaune,Posaune,1143266196,4046865-3,
Tenorsaxofon,Saxofon,7694555-8,4179250-6,
Basssaxofon,Saxofon,1204293457,4179250-6,
Sopransaxofon,Saxofon,7694554-6,4179250-6,
Altsaxofon,Saxofon,7694553-4,4179250-6,
Kontrabasssaxofon,Saxofon,7851466-6,4179250-6,
Baritonsaxofon,Saxofon,7694558-3,4179250-6,
Langhalslaute,Laute,4237751-1,4166936-8,
Biwa,Kurzhalslaute,4315917-5,4306439-5,
Kurzhalslaute,Laute,4306439-5,4166936-8,
Çiftelia,Laute,1207550116,4166936-8,
Satsumabiwa,Laute,4341618-4,4166936-8,
Busuki,Laute,4280371-8,4166936-8,
Tar,Langhalslaute,4237752-3,4237751-1,
Mandola,Laute,4168776-0,4166936-8,
Kobsa,Kurzhalslaute,4304950-3,4306439-5,
Ud,Kurzhalslaute,4495608-3,4306439-5,
Dutār,Langhalslaute,7670557-2,4237751-1,
Colascione,Langhalslaute,7744554-5,4237751-1,
Erzlaute,Laute,4799248-7,4166936-8,
Sitar,Langhalslaute,4181587-7,4237751-1,
Tanbur,Langhalslaute,4424903-2,4237751-1,
Angelica,Laute,4757921-3,4166936-8,
Viola_de_cocho,Kurzhalslaute,113918914X,4306439-5,
Pluriarc,Laute,1094925543,4166936-8,
Cuatro,Gitarre,7854468-3,4124933-1,
Bassgitarre,Gitarre,7661383-5,4124933-1,
Tres,Gitarre,7668063-0,4124933-1,
Harfengitarre,Gitarre,7670555-9,4124933-1,
Tiple,Gitarre,7542435-6,4124933-1,
Barockgitarre,Gitarre,4402847-7,4124933-1,
Ukulele,Gitarre,4460491-9,4124933-1,
Signalinstrument,Blasinstrument,4813609-8,4130897-9,
